"Game","# Owned","# Unique","# Cards","Badge Lvl","Set Price","Price Diff","Card Avg","Booster Avg","Booster %","Emote Avg","BG Avg","Avg Qty","Discount","Added","AppId"
"Lethal Brutal Racing","0","0","5","0","0.00","0.00","0.00","0.00","","0.00","0.00","0","0.00","2016-08-05","509240"
"Lethal League","0","0","5","0","2.09","2.09","0.44","0.33","25.0","0.44","0.27","162","1.15","2014-08-24","261180"
"Lethal League Blaze","0","0","10","0","2.64","2.64","0.27","0.22","20.0","2.91","1.37","259","1.21","2018-10-10","553310"
"Lethal VR","0","0","6","0","3.19","3.19","0.55","2.97","-440.0","3.24","1.48","6","1.43","2016-11-09","532270"
"Lethe - Episode One","0","0","5","0","2.31","2.31","0.44","0.33","25.0","0.38","0.27","18","1.15","2016-10-08","407780"
"Lethis - Daring Discoverers","0","0","5","0","2.69","2.69","0.55","0.82","-50.0","2.36","0.38","16","1.43","2017-06-09","580570"
"Lethis - Path of Progress","0","0","5","0","2.53","2.53","0.49","0.55","-11.1","5.05","0.60","25","1.26","2015-06-18","359230"
"Letter Quest: Grimm's Journey","0","0","5","0","2.64","2.64","0.55","0.44","20.0","0.22","0.49","19","1.43","2014-11-21","328730"
"Letter Quest: Grimm's Journey Remastered","0","0","5","0","2.47","2.47","0.49","0.38","22.2","0.27","0.22","26","1.26","2015-08-06","373970"
"Letters - a written adventure","0","0","6","0","2.69","2.69","0.44","2.47","-462.5","5.55","3.51","18","1.15","2022-02-11","1033080"
"Level 22: Gary’s Misadventures","0","0","11","0","3.84","3.84","0.33","0.38","-16.7","0.38","1.21","14","1.70","2016-04-01","431290"
"Level Zero: Extraction","0","0","6","0","2.80","2.80","0.49","0.77","-55.6","11.42","0.99","67","1.26","2024-08-14","1456940"
"Levelhead","0","0","15","0","3.30","3.30","0.22","0.16","25.0","0.33","0.16","302","1.54","2019-08-16","792710"
"Leveling up girls in another world","0","0","8","0","4.45","4.45","0.55","1.70","-210.0","1.92","4.72","25","1.92","2024-06-19","1295730"
"Leviathan Starblade","0","0","8","0","6.10","6.10","0.77","1.59","-107.1","3.68","4.06","30","2.69","2016-11-30","549900"
"Leviathan: The Last Day of the Decade","0","0","8","0","3.95","3.95","0.49","N/A","0.0","7.91","0.16","20","1.70","2015-03-17","328270"
"Lew Pulsipher's Doomstar","0","0","6","0","3.02","3.02","0.49","N/A","0.0","2.31","1.37","15","1.26","2016-09-16","504750"
"Lewd Girls, Leave Me Alone! I Just Want to Play Video Games and Watch Anime! Hentai Edition","0","0","5","0","4.89","4.89","0.99","1.70","-72.2","0.27","2.03","68","2.58","2021-09-22","1553890"
"Lewd Island","0","0","5","0","3.57","3.57","0.71","2.25","-215.4","5.93","9.56","16","1.87","2022-11-03","1498120"
"Lewd Puzzle [18+]","0","0","5","0","2.91","2.91","0.60","0.55","9.1","0.27","0.55","24","1.59","2024-09-05","2421800"
"LEWDAPOCALYPSE","0","0","5","0","2.36","2.36","0.49","0.44","11.1","0.16","0.16","136","1.26","2020-05-28","1271710"
